Date,Open,Close
1/29/1993,25.9747,25.9563
2/1/1993,25.9747,26.1409
2/2/1993,26.1224,26.1963
2/3/1993,26.2332,26.4732
2/4/1993,26.5655,26.584
2/5/1993,26.5655,26.5655
2/8/1993,26.5655,26.5655
2/9/1993,26.4732,26.3809
2/10/1993,26.3809,26.4178
2/11/1993,26.4547,26.5471
2/12/1993,26.5101,26.344
2/16/1993,26.2701,25.6794
2/17/1993,25.6794,25.6609
2/18/1993,25.9563,25.6424
2/19/1993,25.6424,25.7348
2/22/1993,25.8086,25.8271
2/23/1993,25.9009,25.8086
2/24/1993,25.8271,26.1409
2/25/1993,26.1224,26.1963
2/26/1993,26.2517,26.2332
3/1/1993,26.3255,26.1594
3/2/1993,26.1778,26.5471
3/3/1993,26.584,26.6578
3/4/1993,26.6948,26.5101
3/5/1993,26.5471,26.4363
3/8/1993,26.4917,27.0271
3/9/1993,26.9716,26.9347
3/10/1993,26.9347,26.9901
3/11/1993,27.0086,26.9163
3/12/1993,26.6948,26.6393
3/15/1993,26.6209,26.7686
3/16/1993,26.7686,26.7686
3/17/1993,26.7317,26.6024
3/18/1993,26.7132,26.7686
3/19/1993,26.8766,26.7283
3/22/1993,26.4686,26.5799
3/23/1993,26.6541,26.6355
3/24/1993,26.5984,26.6355
3/25/1993,26.6541,26.8024
3/26/1993,26.7839,26.6541
3/29/1993,26.6726,26.7653
3/30/1993,26.8024,26.8395
3/31/1993,26.9137,26.821
4/1/1993,26.8581,26.7283
4/2/1993,26.5057,26.1718
4/5/1993,26.3759,26.3017
4/6/1993,26.3573,26.2275
4/7/1993,26.2646,26.3202
4/8/1993,26.4315,26.2831
4/12/1993,26.5428,26.6541
4/13/1993,26.6355,26.7097
4/14/1993,26.7283,26.6726
4/15/1993,26.6541,26.6726
4/16/1993,26.6912,26.6726
4/19/1993,26.6726,26.5613
4/20/1993,26.5242,26.4315
4/21/1993,26.4872,26.413
4/22/1993,26.3017,26.0791
4/23/1993,26.0234,25.9678
4/26/1993,25.9863,25.7637
4/27/1993,25.7266,26.042
4/28/1993,26.0049,25.9863
4/29/1993,26.042,26.0976
4/30/1993,26.1904,26.1347
5/3/1993,26.1718,26.3017
5/4/1993,26.3573,26.3944
5/5/1993,26.3944,26.4686
5/6/1993,26.4315,26.3759
5/7/1993,26.3944,26.3202
5/10/1993,26.3573,26.3759
5/11/1993,26.3759,26.4872
5/12/1993,26.3759,26.4501
5/13/1993,26.3388,26.1347
5/14/1993,26.1347,26.1162
5/17/1993,26.1904,26.2089
5/18/1993,26.2275,26.1904
5/19/1993,26.1904,26.7283
5/20/1993,26.7283,26.8024
5/21/1993,26.821,26.5613
5/24/1993,26.617,26.6726
5/25/1993,26.7839,26.7283
5/26/1993,26.8024,27.0621
5/27/1993,27.0992,26.9694
5/28/1993,26.9508,26.8395
6/1/1993,26.9323,27.0992
6/2/1993,27.025,27.0621
6/3/1993,27.0065,26.9694
6/4/1993,26.8952,26.8766
6/7/1993,26.9323,26.7839
6/8/1993,26.7097,26.5428
6/9/1993,26.6355,26.6355
6/10/1993,26.617,26.6541
6/11/1993,26.7468,26.7653
6/14/1993,26.8024,26.7283
6/15/1993,26.7653,26.6726
6/16/1993,26.6726,26.7283
6/17/1993,26.7839,26.821
6/18/1993,26.8072,26.6017
6/21/1993,26.6764,26.6577
6/22/1993,26.6951,26.6764
6/23/1993,26.6764,26.4335
6/24/1993,26.5083,26.7885
6/25/1993,26.7698,26.7698
6/28/1993,26.9006,27.0687
6/29/1993,27.0313,26.938
6/30/1993,26.9753,26.938
7/1/1993,26.9753,26.8632
7/2/1993,26.7698,26.7138
7/6/1993,26.6764,26.4335
7/7/1993,26.4149,26.5083
7/8/1993,26.527,26.8072
7/9/1993,26.8072,26.8819
7/12/1993,26.8445,26.8632
7/13/1993,26.8819,26.8445
7/14/1993,26.8632,26.938
7/15/1993,26.9193,26.8259
7/16/1993,26.8445,26.7512
7/19/1993,26.7512,26.7324
7/20/1993,26.7138,26.8072
7/21/1993,26.7698,26.7885
7/22/1993,26.7512,26.6017
7/23/1993,26.6577,26.7324
7/26/1993,26.8072,26.8819
7/27/1993,26.9006,26.8632
7/28/1993,26.8072,26.8072
7/29/1993,26.8632,26.9566
7/30/1993,26.9566,26.8072
8/2/1993,26.8445,26.8819
8/3/1993,26.938,26.9006
8/4/1993,26.9006,26.9006
8/5/1993,26.9006,26.8445
8/6/1993,26.9193,26.8819
8/9/1993,26.9566,27.0313
8/10/1993,27.0127,27.0127
8/11/1993,26.994,27.0127
8/12/1993,27.0874,26.938
8/13/1993,26.9566,26.9753
8/16/1993,26.994,27.1248
8/17/1993,27.1061,27.2181
8/18/1993,27.3116,27.3676
8/19/1993,27.3863,27.3676
8/20/1993,27.3116,27.3863
8/23/1993,27.2742,27.3302
8/24/1993,27.3302,27.6291
8/25/1993,27.6291,27.6478
8/26/1993,27.6665,27.6665
8/27/1993,27.5918,27.6478
8/30/1993,27.6665,27.7599
8/31/1993,27.7412,27.8347
9/1/1993,27.7412,27.7973
9/2/1993,27.8159,27.7039
9/3/1993,27.6852,27.7226
9/7/1993,27.7226,27.5358
9/8/1993,27.5358,27.4423
9/9/1993,27.3302,27.4984
9/10/1993,27.5731,27.7412
9/13/1993,27.8347,27.7599
9/14/1993,27.6852,27.6478
9/15/1993,27.5358,27.7226
9/16/1993,27.6852,27.6105
9/17/1993,27.5949,27.5573
